RACE_TRACK,RACE_DATE,POS,DRIVER,CAR,MANUFACTURER,LAPS,START,LED,PTS,BONUS,PENALTY
Atlanta,2022-07-10 00:00:00,5,Ryan Blaney,12,Ford,260,6,2,46,0,14
Atlanta,2022-07-10 00:00:00,6,Daniel Suarez,99,Chevrolet,260,7,0,31,0,0
Atlanta,2022-07-10 00:00:00,7,Justin Haley,31,Chevrolet,260,24,0,30,0,0
Atlanta,2022-07-10 00:00:00,8,Aric Almirola,10,Ford,260,22,0,29,0,0
Atlanta,2022-07-10 00:00:00,9,Cole Custer,41,Ford,260,18,0,28,0,0
Atlanta,2022-07-10 00:00:00,10,Harrison Burton,21,Ford,260,27,9,31,0,4
Atlanta,2022-07-10 00:00:00,11,Martin Truex Jr.,19,Toyota,260,9,27,26,0,0
Atlanta,2022-07-10 00:00:00,12,Kevin Harvick,4,Ford,260,10,0,25,0,0
Atlanta,2022-07-10 00:00:00,13,Kyle Larson,5,Chevrolet,260,3,0,26,0,2
Atlanta,2022-07-10 00:00:00,14,Bubba Wallace,23,Toyota,260,32,0,23,0,0
Atlanta,2022-07-10 00:00:00,15,Michael McDowell,34,Ford,260,12,0,22,0,0
Atlanta,2022-07-10 00:00:00,16,Chase Briscoe,14,Ford,260,14,0,21,0,0
Atlanta,2022-07-10 00:00:00,17,Todd Gilliland,38,Ford,260,28,0,20,0,0
Atlanta,2022-07-10 00:00:00,18,Brad Keselowski,6,Ford,260,31,0,27,0,8
Atlanta,2022-07-10 00:00:00,19,Christopher Bell,20,Toyota,260,15,0,24,0,6
Atlanta,2022-07-10 00:00:00,20,Kyle Busch,18,Toyota,260,19,0,22,0,5
Atlanta,2022-07-10 00:00:00,21,Corey LaJoie,7,Chevrolet,260,30,19,17,0,1
Atlanta,2022-07-10 00:00:00,22,Kurt Busch,45,Toyota,259,21,0,25,0,10
Atlanta,2022-07-10 00:00:00,23,Cody Ware,51,Ford,259,34,0,14,0,0
Atlanta,2022-07-10 00:00:00,24,Landon Cassill,77,Chevrolet,259,36,0,0,0,0
Atlanta,2022-07-10 00:00:00,25,Denny Hamlin,11,Toyota,259,16,2,15,0,3
Atlanta,2022-07-10 00:00:00,26,Joey Logano,22,Ford,252,17,0,11,0,0
Atlanta,2022-07-10 00:00:00,27,Garrett Smithley,15,Ford,252,33,0,0,0,0
Atlanta,2022-07-10 00:00:00,28,Ty Dillon,42,Chevrolet,174,23,0,9,0,0
Atlanta,2022-07-10 00:00:00,29,Tyler Reddick,8,Chevrolet,170,4,13,17,0,9
Atlanta,2022-07-10 00:00:00,30,William Byron,24,Chevrolet,170,13,41,16,0,9
Atlanta,2022-07-10 00:00:00,31,Ricky Stenhouse Jr.,47,Chevrolet,162,20,2,6,0,0
Atlanta,2022-07-10 00:00:00,32,Alex Bowman,48,Chevrolet,160,8,0,14,0,9
Atlanta,2022-07-10 00:00:00,33,Chris Buescher,17,Ford,107,11,0,4,0,0
Atlanta,2022-07-10 00:00:00,34,Noah Gragson,16,Chevrolet,91,29,0,0,0,0
Atlanta,2022-07-10 00:00:00,35,Austin Dillon,3,Chevrolet,90,26,0,2,0,0
Atlanta,2022-07-10 00:00:00,36,B.J. McLeod,78,Ford,77,35,0,0,0,0
Atlanta,2021-07-11 00:00:00,1,Kurt Busch,1,Chevrolet,260,8,144,59,0,19
Atlanta,2021-07-11 00:00:00,2,Kyle Busch,18,Toyota,260,2,91,54,0,19
Atlanta,2021-07-11 00:00:00,3,Martin Truex Jr.,19,Toyota,260,5,0,37,0,3
Atlanta,2021-07-11 00:00:00,4,Alex Bowman,48,Chevrolet,260,17,0,48,0,15
Atlanta,2021-07-11 00:00:00,5,Ryan Blaney,12,Ford,260,15,0,36,0,4
Atlanta,2021-07-11 00:00:00,6,Tyler Reddick,8,Chevrolet,260,7,0,42,0,11
Atlanta,2021-07-11 00:00:00,7,Chase Elliott,9,Chevrolet,260,1,13,30,0,0
Atlanta,2021-07-11 00:00:00,8,Christopher Bell,20,Toyota,260,4,0,29,0,0
Atlanta,2021-07-11 00:00:00,9,Matt DiBenedetto,21,Ford,260,12,0,28,0,0
Atlanta,2021-07-11 00:00:00,10,Brad Keselowski,2,Ford,260,14,0,30,0,3
Atlanta,2021-07-11 00:00:00,11,Kevin Harvick,4,Ford,260,21,0,27,0,1
Atlanta,2021-07-11 00:00:00,12,Austin Dillon,3,Chevrolet,260,13,0,27,0,2
Atlanta,2021-07-11 00:00:00,13,Denny Hamlin,11,Toyota,260,3,2,38,0,14
Atlanta,2021-07-11 00:00:00,14,Bubba Wallace,23,Toyota,260,24,0,23,0,0
Atlanta,2021-07-11 00:00:00,15,Chase Briscoe,14,Ford,260,11,0,22,0,0
